,Bundle Name,Pdf file,XML file
115,P_CKELMANN_Marcus__Entwicklungsstand_im_Projekt__em_Digital_,P_CKELMANN_Marcus__Entwicklungsstand_im_Projekt__em_Digital_.pdf,P_CKELMANN_Marcus__Entwicklungsstand_im_Projekt__em_Digital_.xml
116,RADISCH_Erik_Contextualizing_Bandera__Ein_Distant_Watching_A,RADISCH_Erik_Contextualizing_Bandera__Ein_Distant_Watching_A.pdf,RADISCH_Erik_Contextualizing_Bandera__Ein_Distant_Watching_A.xml
117,RAUNIG_Michael_Digitale_Methoden_sind_weder_digital_noch_inn,RAUNIG_Michael_Digitale_Methoden_sind_weder_digital_noch_inn.pdf,RAUNIG_Michael_Digitale_Methoden_sind_weder_digital_noch_inn.xml
118,RAU_Felix_Audio_Mining_f_r_die_Geistes__und_Kulturwissenscha,RAU_Felix_Audio_Mining_f_r_die_Geistes__und_Kulturwissenscha.pdf,RAU_Felix_Audio_Mining_f_r_die_Geistes__und_Kulturwissenscha.xml
119,REBORA_Simone_The__em_Tiroler_Soldaten_Zeitung__em__and_its_,REBORA_Simone_The__em_Tiroler_Soldaten_Zeitung__em__and_its_.pdf,REBORA_Simone_The__em_Tiroler_Soldaten_Zeitung__em__and_its_.xml
120,REITER_Nils_Maschinelles_Lernen_lernen__Ein_CRETA_Hackatoria,REITER_Nils_Maschinelles_Lernen_lernen__Ein_CRETA_Hackatoria.pdf,REITER_Nils_Maschinelles_Lernen_lernen__Ein_CRETA_Hackatoria.xml
121,REITER_Nils_SANTA__Systematische_Analyse_Narrativer_Texte_du,REITER_Nils_SANTA__Systematische_Analyse_Narrativer_Texte_du.pdf,REITER_Nils_SANTA__Systematische_Analyse_Narrativer_Texte_du.xml
122,RESCH_Claudia_Historische_Zeitungen_kollaborativ_erschlie_en,RESCH_Claudia_Historische_Zeitungen_kollaborativ_erschlie_en.pdf,RESCH_Claudia_Historische_Zeitungen_kollaborativ_erschlie_en.xml
123,ROEDER_Torsten_Horizontales_Lesen__Das__Verdi_Requiem__und_d,ROEDER_Torsten_Horizontales_Lesen__Das__Verdi_Requiem__und_d.pdf,ROEDER_Torsten_Horizontales_Lesen__Das__Verdi_Requiem__und_d.xml
124,ROLSHOVEN_J_rgen_Strings_Structures,ROLSHOVEN_J_rgen_Strings_Structures.pdf,ROLSHOVEN_J_rgen_Strings_Structures.xml
125,RUIZ_FABO_Pablo_DISCO__Diachronic_Spanish_Sonnet_Corpus,RUIZ_FABO_Pablo_DISCO__Diachronic_Spanish_Sonnet_Corpus.pdf,RUIZ_FABO_Pablo_DISCO__Diachronic_Spanish_Sonnet_Corpus.xml
126,R_DIGER_Jan_Oliver_CorpusExplorer_v2_0___Seminartauglich_in_,R_DIGER_Jan_Oliver_CorpusExplorer_v2_0___Seminartauglich_in_.pdf,R_DIGER_Jan_Oliver_CorpusExplorer_v2_0___Seminartauglich_in_.xml
127,SCHASSAN_Torsten__Im_Netz_der_M_glichkeiten___Wechselwirkung,SCHASSAN_Torsten__Im_Netz_der_M_glichkeiten___Wechselwirkung.pdf,SCHASSAN_Torsten__Im_Netz_der_M_glichkeiten___Wechselwirkung.xml
128,SCHILZ_Andrea___em_Exakt_Historisch__em__im_Digitalen__Versu,SCHILZ_Andrea___em_Exakt_Historisch__em__im_Digitalen__Versu.pdf,SCHILZ_Andrea___em_Exakt_Historisch__em__im_Digitalen__Versu.xml
129,SCHLESINGER_Claus_Michael_Die_Max_Bense_Collection__Digitale,SCHLESINGER_Claus_Michael_Die_Max_Bense_Collection__Digitale.pdf,SCHLESINGER_Claus_Michael_Die_Max_Bense_Collection__Digitale.xml
130,SCHLUPKOTHEN_Frederik_Zwischen_Polysemie_und_Formalisierung_,SCHLUPKOTHEN_Frederik_Zwischen_Polysemie_und_Formalisierung_.pdf,SCHLUPKOTHEN_Frederik_Zwischen_Polysemie_und_Formalisierung_.xml
131,SCHL_GL_Matthias_Biographik_in_den_Digital_Humanities___Krit,SCHL_GL_Matthias_Biographik_in_den_Digital_Humanities___Krit.pdf,SCHL_GL_Matthias_Biographik_in_den_Digital_Humanities___Krit.xml
132,SCHMIDT_Thomas__Kann_man_denn_auch_nicht_lachend_sehr_ernsth,SCHMIDT_Thomas__Kann_man_denn_auch_nicht_lachend_sehr_ernsth.pdf,SCHMIDT_Thomas__Kann_man_denn_auch_nicht_lachend_sehr_ernsth.xml
133,SCHOLGER_Walter_Rechtsfragen_in_DH_Projekten__Alles__was_man,SCHOLGER_Walter_Rechtsfragen_in_DH_Projekten__Alles__was_man.pdf,SCHOLGER_Walter_Rechtsfragen_in_DH_Projekten__Alles__was_man.xml
134,SCHOLZ_Martin_Digitale_Sammlungserschlie_ung_mit_WissKI_und_,SCHOLZ_Martin_Digitale_Sammlungserschlie_ung_mit_WissKI_und_.pdf,SCHOLZ_Martin_Digitale_Sammlungserschlie_ung_mit_WissKI_und_.xml
135,SCHOLZ_Martin_Objekte_im_Netz___Die_Digitalisierung_der_Samm,SCHOLZ_Martin_Objekte_im_Netz___Die_Digitalisierung_der_Samm.pdf,SCHOLZ_Martin_Objekte_im_Netz___Die_Digitalisierung_der_Samm.xml
136,SCHRADE_Torsten_Research_Software_Engineering_und_Digital_Hu,SCHRADE_Torsten_Research_Software_Engineering_und_Digital_Hu.pdf,SCHRADE_Torsten_Research_Software_Engineering_und_Digital_Hu.xml
137,SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d,SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d.pdf,SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d.xml
138,SCHULZ_Daniela_Abgrenzung_oder_Entgrenzung__Zum_Spannungsver,SCHULZ_Daniela_Abgrenzung_oder_Entgrenzung__Zum_Spannungsver.pdf,SCHULZ_Daniela_Abgrenzung_oder_Entgrenzung__Zum_Spannungsver.xml
139,SCHWENGELBECK_Isabel_TEI_Editionswerkstatt_Urkunden_UPB__,SCHWENGELBECK_Isabel_TEI_Editionswerkstatt_Urkunden_UPB__.pdf,SCHWENGELBECK_Isabel_TEI_Editionswerkstatt_Urkunden_UPB__.xml
140,SCH_CH_Christof_Burrows_Zeta__Varianten_und_Evaluation,SCH_CH_Christof_Burrows_Zeta__Varianten_und_Evaluation.pdf,SCH_CH_Christof_Burrows_Zeta__Varianten_und_Evaluation.xml
141,SEIDEL_Henry_DH_Toolvergleich_im_Hinblick_auf_Texte_historis,SEIDEL_Henry_DH_Toolvergleich_im_Hinblick_auf_Texte_historis.pdf,SEIDEL_Henry_DH_Toolvergleich_im_Hinblick_auf_Texte_historis.xml
142,SELTMANN_Melanie__Kollaborativ_arbeiten_und_annotieren___Die,SELTMANN_Melanie__Kollaborativ_arbeiten_und_annotieren___Die.pdf,SELTMANN_Melanie__Kollaborativ_arbeiten_und_annotieren___Die.xml
143,SPERBERG-MCQUEEN_Kritik_der_digitalen_Vernunft,SPERBERG-MCQUEEN_Kritik_der_digitalen_Vernunft.pdf,SPERBERG-MCQUEEN_Kritik_der_digitalen_Vernunft.xml
144,SPORLEDER_Caroline_Chancen_und_Grenzen_von_Digitalen_Methode,SPORLEDER_Caroline_Chancen_und_Grenzen_von_Digitalen_Methode.pdf,SPORLEDER_Caroline_Chancen_und_Grenzen_von_Digitalen_Methode.xml
145,STADLER_Peter__Storied_Collections___Ein_kritischer_Blick_au,STADLER_Peter__Storied_Collections___Ein_kritischer_Blick_au.pdf,STADLER_Peter__Storied_Collections___Ein_kritischer_Blick_au.xml
146,STEINER_Elisabeth_Virtuelle_Ausstellungen_und_Rundg_nge__dig,STEINER_Elisabeth_Virtuelle_Ausstellungen_und_Rundg_nge__dig.pdf,STEINER_Elisabeth_Virtuelle_Ausstellungen_und_Rundg_nge__dig.xml
147,STEYER_Timo_Peer_to_Peer_statt_Client_Server__Der_Mehrwert_k,STEYER_Timo_Peer_to_Peer_statt_Client_Server__Der_Mehrwert_k.pdf,STEYER_Timo_Peer_to_Peer_statt_Client_Server__Der_Mehrwert_k.xml
148,STROBEL_Jochen_Zur_Zukunft_der_Digitalen_Briefedition___koop,STROBEL_Jochen_Zur_Zukunft_der_Digitalen_Briefedition___koop.pdf,STROBEL_Jochen_Zur_Zukunft_der_Digitalen_Briefedition___koop.xml
149,TABTI_Samira_What_do_you_do_with_5_million_posts__Versuche_z,TABTI_Samira_What_do_you_do_with_5_million_posts__Versuche_z.pdf,TABTI_Samira_What_do_you_do_with_5_million_posts__Versuche_z.xml
150,TRATTER_Aaron_Rudolf_Ambraser_Heldenbuch__Transkription_und_,TRATTER_Aaron_Rudolf_Ambraser_Heldenbuch__Transkription_und_.pdf,TRATTER_Aaron_Rudolf_Ambraser_Heldenbuch__Transkription_und_.xml
151,TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention,TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.pdf,TRILCKE_Peer_Dramenquartett___Eine_didaktische_Intervention.xml
152,TRIPPEL_Thorsten_Gute_Forschungsdaten__bessere_Forschung__wi,TRIPPEL_Thorsten_Gute_Forschungsdaten__bessere_Forschung__wi.pdf,TRIPPEL_Thorsten_Gute_Forschungsdaten__bessere_Forschung__wi.xml
153,ULLRICH_Sabine__Aufdecken_von__versteckten__Einfl_ssen__Teil,ULLRICH_Sabine__Aufdecken_von__versteckten__Einfl_ssen__Teil.pdf,ULLRICH_Sabine__Aufdecken_von__versteckten__Einfl_ssen__Teil.xml
154,VERTAN_Cristina_Eine_Fallstudie_zur_Annotation_von_Vagheit_i,VERTAN_Cristina_Eine_Fallstudie_zur_Annotation_von_Vagheit_i.pdf,VERTAN_Cristina_Eine_Fallstudie_zur_Annotation_von_Vagheit_i.xml
155,WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo,WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo.pdf,WINDHAGER_Florian_Zur_Weiterentwicklung_des__cognition_suppo.xml
156,WISSIK_Tanja_ELEXIS___Eine_europ_ische_Forschungsinfrastrukt,WISSIK_Tanja_ELEXIS___Eine_europ_ische_Forschungsinfrastrukt.pdf,WISSIK_Tanja_ELEXIS___Eine_europ_ische_Forschungsinfrastrukt.xml
157,WISSIK_Tanja_Meuchelm_rderInnen__Kindsm_rderInnen__DiebInnen,WISSIK_Tanja_Meuchelm_rderInnen__Kindsm_rderInnen__DiebInnen.pdf,WISSIK_Tanja_Meuchelm_rderInnen__Kindsm_rderInnen__DiebInnen.xml
158,ZIRKER_Angelika_Ambiguit_t_und_Annotation__Herausforderungen,ZIRKER_Angelika_Ambiguit_t_und_Annotation__Herausforderungen.pdf,ZIRKER_Angelika_Ambiguit_t_und_Annotation__Herausforderungen.xml
159,ZIRKER_Angelika_TEASys__Kollaborative_digitale_Annotationen_,ZIRKER_Angelika_TEASys__Kollaborative_digitale_Annotationen_.pdf,ZIRKER_Angelika_TEASys__Kollaborative_digitale_Annotationen_.xml
